UID,OrganizationIdentifier,OrganizationFormalName,ProviderName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,IR_FLAG,IR_COMMENT,IR_MLID,IR_MLNAME,ASSESS_ID,AU_NAME,AU_Type,Water_Type,R317Descrp,ss_R317Descrp,BEN_CLASS,MLID_Count,Lat_Count,Long_Count,sites100m_count,LatitudeMeasure,LongitudeMeasure,IR_Lat,IR_Long,HUCEightDigitCode,DrainageAreaMeasure.MeasureValue,DrainageAreaMeasure.MeasureUnitCode,ContributingDrainageAreaMeasure.MeasureValue,ContributingDrainageAreaMeasure.MeasureUnitCode,SourceMapScaleNumeric,HorizontalAccuracyMeasure.MeasureValue,HorizontalAccuracyMeasure.MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure.MeasureValue,VerticalMeasure.MeasureUnitCode,VerticalAccuracyMeasure.MeasureValue,VerticalAccuracyMeasure.MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure.MeasureValue,WellDepthMeasure.MeasureUnitCode,WellHoleDepthMeasure.MeasureValue,WellHoleDepthMeasure.MeasureUnitCode,ValidationType,ReviewComment
760,UTAHDWQ_WQX,Utah Department Of Environmental Quality,STORET,UTAHDWQ_WQX-4907092,Bear Lake SP @ CISCO Beach,Lake,NA,ACCEPT,Automatically accepted,UTAHDWQ_WQX-4907092,Bear Lake SP @ CISCO Beach,UT-L-16010201-003_00,Bear Lake,Reservoir/Lake,Lake / Reservoir,Bear Lake (Utah portion),NA,"2A,3A,4",1,1,1,0,41.946403,-111.278687,41.946403,-111.278687,16010201,NA,NA,NA,NA,NA,NA,NA,GPS-Unspecified,WGS84,NA,NA,NA,NA,NA,NA,US,49,33,NA,NA,NA,NA,NA,NA,NA,NA,AUTO,
761,UTAHDWQ_WQX,Utah Department Of Environmental Quality,STORET,UTAHDWQ_WQX-4907095,Bear Lake SP @ Rainbow Cove,Lake,NA,ACCEPT,Automatically accepted,UTAHDWQ_WQX-4907095,Bear Lake SP @ Rainbow Cove,UT-L-16010201-003_00,Bear Lake,Reservoir/Lake,Lake / Reservoir,Bear Lake (Utah portion),NA,"2A,3A,4",1,1,1,0,41.968625,-111.272705,41.968625,-111.272705,16010201,NA,NA,NA,NA,NA,NA,NA,GPS-Unspecified,WGS84,NA,NA,NA,NA,NA,NA,US,49,33,NA,NA,NA,NA,NA,NA,NA,NA,AUTO,
762,UTAHDWQ_WQX,Utah Department Of Environmental Quality,STORET,UTAHDWQ_WQX-4907098,Bear Lake SP @ North Beach,Lake,NA,ACCEPT,Automatically accepted,UTAHDWQ_WQX-4907098,Bear Lake SP @ North Beach,UT-L-16010201-003_00,Bear Lake,Reservoir/Lake,Lake / Reservoir,Bear Lake (Utah portion),NA,"2A,3A,4",1,1,1,0,41.986867,-111.27659,41.986867,-111.27659,16010201,NA,NA,NA,NA,NA,NA,NA,GPS-Unspecified,WGS84,NA,NA,NA,NA,NA,NA,US,49,33,NA,NA,NA,NA,NA,NA,NA,NA,AUTO,
763,UTAHDWQ_WQX,Utah Department Of Environmental Quality,STORET,UTAHDWQ_WQX-4907100,BIG CK AB BEAR LAKE,River/Stream,NA,ACCEPT,Automatically accepted,UTAHDWQ_WQX-4907100,BIG CK AB BEAR LAKE,UT16010201-002_00,Laketown,River/Stream,River / Stream,"All tributaries to Bear Lake from Bear Lake to headwaters, except as listed below",NA,"2B,3A,4",1,1,1,0,41.83910494,-111.3296438,41.83910494,-111.3296438,16010201,NA,NA,NA,NA,NA,NA,NA,GPS-Unspecified,WGS84,NA,NA,NA,NA,NA,NA,US,49,33,NA,NA,NA,NA,NA,NA,NA,NA,AUTO,
764,UTAHDWQ_WQX,Utah Department Of Environmental Quality,STORET,UTAHDWQ_WQX-4907120,N EDEN CANYON CK AT CISCO RD XING,River/Stream,NA,ACCEPT,Automatically accepted,UTAHDWQ_WQX-4907120,N EDEN CANYON CK AT CISCO RD XING,UT16010201-004_00,North Eden,River/Stream,River / Stream,"All tributaries to Bear Lake from Bear Lake to headwaters, except as listed below",NA,"2B,3A,4",1,1,1,0,41.98576951,-111.2563134,41.98576951,-111.2563134,16010201,NA,NA,NA,NA,NA,NA,NA,GPS-Unspecified,WGS84,NA,NA,NA,NA,NA,NA,US,49,33,NA,NA,NA,NA,NA,NA,NA,NA,AUTO,
765,UTAHDWQ_WQX,Utah Department Of Environmental Quality,STORET,UTAHDWQ_WQX-4907200,SWAN CK AB BEAR LAKE,River/Stream,NA,ACCEPT,Automatically accepted,UTAHDWQ_WQX-4907200,SWAN CK AB BEAR LAKE,UT16010201-001_00,Bear Lake West,River/Stream,River / Stream,"All tributaries to Bear Lake from Bear Lake to headwaters, except as listed below",NA,"2B,3A,4",1,1,1,0,41.98548792,-111.4118715,41.98548792,-111.4118715,16010201,NA,NA,NA,NA,NA,NA,NA,GPS-Unspecified,WGS84,NA,NA,NA,NA,NA,NA,US,49,33,NA,NA,NA,NA,NA,NA,NA,NA,AUTO,
766,UTAHDWQ_WQX,Utah Department Of Environmental Quality,STORET,UTAHDWQ_WQX-4908100,BEAR R E OF SAGE CK JCT AT U30 XING AB CNFL / BRIDGER CK,River/Stream,NA,ACCEPT,Automatically accepted,UTAHDWQ_WQX-4908100,BEAR R E OF SAGE CK JCT AT U30 XING AB CNFL / BRIDGER CK,UT16010101-006_00,Bear River-4,River/Stream,River / Stream,Bear River and tributaries in Rich County,NA,"2B,3A,4",1,1,1,0,41.77716317,-111.0735206,41.77716317,-111.0735206,16010101,NA,NA,NA,NA,NA,NA,NA,GPS-Unspecified,WGS84,NA,NA,NA,NA,NA,NA,US,49,33,NA,NA,NA,NA,NA,NA,NA,NA,AUTO,
767,UTAHDWQ_WQX,Utah Department Of Environmental Quality,STORET,UTAHDWQ_WQX-4908140,RANDOLPH CK @ BIG CK RD AB CNFL W/BIG CK,River/Stream,NA,ACCEPT,Automatically accepted,UTAHDWQ_WQX-4908140,RANDOLPH CK @ BIG CK RD AB CNFL W/BIG CK,UT16010101-007_00,Big Creek,River/Stream,River / Stream,Bear River and tributaries in Rich County,NA,"2B,3A,4",1,1,1,0,41.59547966,-111.307379,41.59547966,-111.307379,16010101,NA,NA,NA,NA,NA,NA,NA,GPS-Unspecified,WGS84,NA,NA,NA,NA,NA,NA,US,49,33,NA,NA,NA,NA,NA,NA,NA,NA,AUTO,
768,UTAHDWQ_WQX,Utah Department Of Environmental Quality,STORET,UTAHDWQ_WQX-4908146,NORTH FK SAGE CK AB CNFL W/ SAGE CK,River/Stream,NA,REVIEW,Automatically flagged for review,REVIEW,NA,UT16010101-004_00,Sage Creek,River/Stream,River / Stream,Bear River and tributaries in Rich County,NA,"2B,3A,4",1,1,1,1,41.76880436,-111.1740925,NA,NA,16010101,NA,NA,NA,NA,NA,NA,NA,GPS-Unspecified,WGS84,NA,NA,NA,NA,NA,NA,US,49,33,NA,NA,NA,NA,NA,NA,NA,NA,AUTO,
769,UTAHDWQ_WQX,Utah Department Of Environmental Quality,STORET,UTAHDWQ_WQX-4908148,SAGE CK AB CNFL W/ NORTH FK SAGE CK,River/Stream,NA,REVIEW,Automatically flagged for review,REVIEW,NA,UT16010101-004_00,Sage Creek,River/Stream,River / Stream,Bear River and tributaries in Rich County,NA,"2B,3A,4",1,1,1,1,41.76833558,-111.1743679,NA,NA,16010101,NA,NA,NA,NA,NA,NA,NA,GPS-Unspecified,WGS84,NA,NA,NA,NA,NA,NA,US,49,33,NA,NA,NA,NA,NA,NA,NA,NA,AUTO,
770,UTAHDWQ_WQX,Utah Department Of Environmental Quality,STORET,UTAHDWQ_WQX-4908149,QA/QC Duplicate of SAGE CK AB CNFL W/ NORTH FK SAGE CK 4908148,River/Stream,Duplicate of 4908148,REJECT,Automatically flagged for rejection,REJECT,REJECT,UT16010101-004_00,Sage Creek,River/Stream,River / Stream,Bear River and tributaries in Rich County,NA,"2B,3A,4",NA,NA,NA,NA,41.768336,-111.174368,NA,NA,16010101,NA,NA,NA,NA,NA,NA,NA,GPS-Unspecified,WGS84,NA,NA,NA,NA,NA,NA,US,49,33,NA,NA,NA,NA,NA,NA,NA,NA,AUTO,
771,UTAHDWQ_WQX,Utah Department Of Environmental Quality,STORET,UTAHDWQ_WQX-4908150,Sage Ck 200 m BL Confl/N Fork (2.5 mi W of Sage Ck Jnct),River/Stream,NA,ACCEPT,Automatically accepted,UTAHDWQ_WQX-4908150,Sage Ck 200 m BL Confl/N Fork (2.5 mi W of Sage Ck Jnct),UT16010101-004_00,Sage Creek,River/Stream,River / Stream,Bear River and tributaries in Rich County,NA,"2B,3A,4",1,1,1,0,41.76762707,-111.1723448,41.76762707,-111.1723448,16010101,NA,NA,NA,NA,NA,NA,NA,GPS-Unspecified,WGS84,NA,NA,NA,NA,NA,NA,US,49,33,NA,NA,NA,NA,NA,NA,NA,NA,AUTO,
772,UTAHDWQ_WQX,Utah Department Of Environmental Quality,STORET,UTAHDWQ_WQX-4908153,"TRIP BLANK, BLM SLC STAFF BEAR RIVER AREA",River/Stream,Trip Blank,REJECT,Automatically flagged for rejection,REJECT,REJECT,NA,NA,Undefined,River / Stream,All waters not specifically classified are presumptively classified,NA,"2B,3D",NA,NA,NA,NA,40.77413009,-111.9478892,NA,NA,16020204,NA,NA,NA,NA,NA,NA,NA,GPS-Unspecified,WGS84,NA,NA,NA,NA,NA,NA,US,49,35,NA,NA,NA,NA,NA,NA,NA,NA,AUTO,
773,UTAHDWQ_WQX,Utah Department Of Environmental Quality,STORET,UTAHDWQ_WQX-4908154,"FIELD BLANK, BLM SLC STAFF BEAR RIVER AREA",River/Stream,Field Blank,REJECT,Automatically flagged for rejection,REJECT,REJECT,NA,NA,Undefined,River / Stream,All waters not specifically classified are presumptively classified,NA,"2B,3D",NA,NA,NA,NA,40.77413009,-111.9478892,NA,NA,16020204,NA,NA,NA,NA,NA,NA,NA,GPS-Unspecified,WGS84,NA,NA,NA,NA,NA,NA,US,49,35,NA,NA,NA,NA,NA,NA,NA,NA,AUTO,
774,UTAHDWQ_WQX,Utah Department Of Environmental Quality,STORET,UTAHDWQ_WQX-4908160,South Fork Otter Creek @ Otter Creek Road,River/Stream,NA,ACCEPT,Automatically accepted,UTAHDWQ_WQX-4908160,South Fork Otter Creek @ Otter Creek Road,UT16010101-005_00,Otter Creek,River/Stream,River / Stream,Bear River and tributaries in Rich County,NA,"2B,3A,4",1,1,1,0,41.70215624,-111.2580564,41.70215624,-111.2580564,16010101,NA,NA,NA,NA,NA,NA,NA,GPS-Unspecified,WGS84,NA,NA,NA,NA,NA,NA,US,49,33,NA,NA,NA,NA,NA,NA,NA,NA,AUTO,
775,UTAHDWQ_WQX,Utah Department Of Environmental Quality,STORET,UTAHDWQ_WQX-4908165,Otter Creek at road xing BL confluence with South Branch,River/Stream,NA,ACCEPT,Automatically accepted,UTAHDWQ_WQX-4908165,Otter Creek at road xing BL confluence with South Branch,UT16010101-005_00,Otter Creek,River/Stream,River / Stream,Bear River and tributaries in Rich County,NA,"2B,3A,4",1,1,1,0,41.70986561,-111.1889587,41.70986561,-111.1889587,16010101,NA,NA,NA,NA,NA,NA,NA,GPS-Unspecified,WGS84,NA,NA,NA,NA,NA,NA,US,49,33,NA,NA,NA,NA,NA,NA,NA,NA,AUTO,
776,UTAHDWQ_WQX,Utah Department Of Environmental Quality,STORET,UTAHDWQ_WQX-4908168,MIDDLE BRANCH OTTER CK @ OTTER CK RD XING,River/Stream,NA,ACCEPT,Automatically accepted,UTAHDWQ_WQX-4908168,MIDDLE BRANCH OTTER CK @ OTTER CK RD XING,UT16010101-005_00,Otter Creek,River/Stream,River / Stream,Bear River and tributaries in Rich County,NA,"2B,3A,4",1,1,1,0,41.71521983,-111.256594,41.71521983,-111.256594,16010101,NA,NA,NA,NA,NA,NA,NA,GPS-Unspecified,WGS84,NA,NA,NA,NA,NA,NA,US,49,33,NA,NA,NA,NA,NA,NA,NA,NA,AUTO,
777,UTAHDWQ_WQX,Utah Department Of Environmental Quality,STORET,UTAHDWQ_WQX-4908170,OTTER CK 5.7 MI UP OTTER CK RD AB RD XING,River/Stream,NA,ACCEPT,Automatically accepted,UTAHDWQ_WQX-4908170,OTTER CK 5.7 MI UP OTTER CK RD AB RD XING,UT16010101-005_00,Otter Creek,River/Stream,River / Stream,Bear River and tributaries in Rich County,NA,"2B,3A,4",1,1,1,0,41.72688713,-111.2551976,41.72688713,-111.2551976,16010101,NA,NA,NA,NA,NA,NA,NA,GPS-Unspecified,WGS84,NA,NA,NA,NA,NA,NA,US,49,33,NA,NA,NA,NA,NA,NA,NA,NA,AUTO,
778,UTAHDWQ_WQX,Utah Department Of Environmental Quality,STORET,UTAHDWQ_WQX-4908180,BIG CK @ U-16 XING,River/Stream,NA,ACCEPT,Automatically accepted,UTAHDWQ_WQX-4908180,BIG CK @ U-16 XING,UT16010101-007_00,Big Creek,River/Stream,River / Stream,Bear River and tributaries in Rich County,NA,"2B,3A,4",1,1,1,0,41.6541084,-111.1851927,41.6541084,-111.1851927,16010101,NA,NA,NA,NA,NA,NA,NA,GPS-Unspecified,WGS84,NA,NA,NA,NA,NA,NA,US,49,33,NA,NA,NA,NA,NA,NA,NA,NA,AUTO,
779,UTAHDWQ_WQX,Utah Department Of Environmental Quality,STORET,UTAHDWQ_WQX-4908190,BIG CK 9.5 MI UP BIG CK RD FROM RANDOLPH,River/Stream,NA,ACCEPT,Automatically accepted,UTAHDWQ_WQX-4908190,BIG CK 9.5 MI UP BIG CK RD FROM RANDOLPH,UT16010101-007_00,Big Creek,River/Stream,River / Stream,Bear River and tributaries in Rich County,NA,"2B,3A,4",1,1,1,0,41.58632663,-111.3079834,41.58632663,-111.3079834,16010101,NA,NA,NA,NA,NA,NA,NA,GPS-Unspecified,WGS84,NA,NA,NA,NA,NA,NA,US,49,33,NA,NA,NA,NA,NA,NA,NA,NA,AUTO,
780,UTAHDWQ_WQX,Utah Department Of Environmental Quality,STORET,UTAHDWQ_WQX-4908191,BIG CK 9.5 MI UP BIG CK RD FROM RANDOLPH (4908190 Duplicate),River/Stream,Duplicate of 4908190,REJECT,Automatically flagged for rejection,REJECT,REJECT,UT16010101-007_00,Big Creek,River/Stream,River / Stream,Bear River and tributaries in Rich County,NA,"2B,3A,4",NA,NA,NA,NA,41.58632663,-111.3079834,NA,NA,16010101,NA,NA,NA,NA,NA,NA,NA,GPS-Unspecified,WGS84,NA,NA,NA,NA,NA,NA,US,49,33,NA,NA,NA,NA,NA,NA,NA,NA,AUTO,
781,UTAHDWQ_WQX,Utah Department Of Environmental Quality,STORET,UTAHDWQ_WQX-4908200,GENES CK @ U-16 XING,River/Stream,NA,ACCEPT,Automatically accepted,UTAHDWQ_WQX-4908200,GENES CK @ U-16 XING,UT16010101-008_00,North Woodruff,River/Stream,River / Stream,Bear River and tributaries in Rich County,NA,"2B,3A,4",1,1,1,0,41.52383392,-111.1560309,41.52383392,-111.1560309,16010101,NA,NA,NA,NA,NA,NA,NA,GPS-Unspecified,WGS84,NA,NA,NA,NA,NA,NA,US,49,33,NA,NA,NA,NA,NA,NA,NA,NA,AUTO,
782,UTAHDWQ_WQX,Utah Department Of Environmental Quality,STORET,UTAHDWQ_WQX-4908220,B&Q CANAL @ STATE LINE,River/Stream,NA,ACCEPT,Automatically accepted,UTAHDWQ_WQX-4908220,B&Q CANAL @ STATE LINE,UT16010101-001_00,Bear River West,River/Stream,River / Stream,Bear River and tributaries in Rich County,NA,"2B,3A,4",1,1,1,0,41.86049805,-111.0524107,41.86049805,-111.0524107,16010101,NA,NA,NA,NA,NA,NA,NA,GPS-Unspecified,WGS84,NA,NA,NA,NA,NA,NA,US,49,33,NA,NA,NA,NA,NA,NA,NA,NA,AUTO,
783,UTAHDWQ_WQX,Utah Department Of Environmental Quality,STORET,UTAHDWQ_WQX-4908280,BEAR R @ RANDOLPH/CRAWFORD MTN RD XING,River/Stream,NA,REJECT,Automatically flagged for rejection,REJECT,REJECT,NA,NA,Undefined,River / Stream,Bear River and tributaries in Rich County,NA,"2B,3A,4",NA,NA,NA,NA,41.69633176,-111.1188075,NA,NA,16010101,NA,NA,NA,NA,NA,NA,NA,GPS-Unspecified,WGS84,NA,NA,NA,NA,NA,NA,US,49,33,NA,NA,NA,NA,NA,NA,NA,NA,AUTO,
784,UTAHDWQ_WQX,Utah Department Of Environmental Quality,STORET,UTAHDWQ_WQX-4908500,BEAR R E OF WOODRUFF,River/Stream,NA,ACCEPT,Automatically accepted,UTAHDWQ_WQX-4908500,BEAR R E OF WOODRUFF,UT16010101-006_00,Bear River-4,River/Stream,River / Stream,Bear River and tributaries in Rich County,NA,"2B,3A,4",1,1,1,0,41.53160894,-111.1332499,41.53160894,-111.1332499,16010101,NA,NA,NA,NA,NA,NA,NA,GPS-Unspecified,WGS84,NA,NA,NA,NA,NA,NA,US,49,33,NA,NA,NA,NA,NA,NA,NA,NA,AUTO,
785,UTAHDWQ_WQX,Utah Department Of Environmental Quality,STORET,UTAHDWQ_WQX-4908630,Saleratus Ck at County Rd Xing to Deseret Ranch,River/Stream,NA,ACCEPT,Automatically accepted,UTAHDWQ_WQX-4908630,Saleratus Ck at County Rd Xing to Deseret Ranch,UT16010101-016_00,Saleratus Creek-Rich,River/Stream,River / Stream,Bear River and tributaries in Rich County,NA,"2B,3A,4",1,1,1,0,41.43441868,-111.1610831,41.43441868,-111.1610831,16010101,NA,NA,NA,NA,NA,NA,NA,GPS-Unspecified,WGS84,NA,NA,NA,NA,NA,NA,US,49,33,NA,NA,NA,NA,NA,NA,NA,NA,AUTO,
786,UTAHDWQ_WQX,Utah Department Of Environmental Quality,STORET,UTAHDWQ_WQX-4908701,Right Hand Fk Logan R ~2.2 mi ab Logan R (UT09ST-174),River/Stream,NA,ACCEPT,Automatically accepted,UTAHDWQ_WQX-4908701,Right Hand Fk Logan R ~2.2 mi ab Logan R (UT09ST-174),UT16010203-006_00,Logan River-2,River/Stream,River / Stream,"Logan River and tributaries, from Cutler Reservoir to headwaters",NA,"2B,3A,3D,4",1,1,1,0,41.77253291,-111.6029929,41.77253291,-111.6029929,16010203,NA,NA,NA,NA,NA,NA,NA,GPS-Unspecified,WGS84,NA,NA,NA,NA,NA,NA,US,49,5,NA,NA,NA,NA,NA,NA,NA,NA,AUTO,
787,UTAHDWQ_WQX,Utah Department Of Environmental Quality,STORET,UTAHDWQ_WQX-4908702,Big Creek at Argyle Property 1.1 m above gaging station (UT09ST-102),River/Stream,NA,ACCEPT,Automatically accepted,UTAHDWQ_WQX-4908702,Big Creek at Argyle Property 1.1 m above gaging station (UT09ST-102),UT16010101-007_00,Big Creek,River/Stream,River / Stream,Bear River and tributaries in Rich County,NA,"2B,3A,4",1,1,1,0,41.60470785,-111.2734127,41.60470785,-111.2734127,16010101,NA,NA,NA,NA,NA,NA,NA,GPS-Unspecified,WGS84,NA,NA,NA,NA,NA,NA,US,49,33,NA,NA,NA,NA,NA,NA,NA,NA,AUTO,
788,UTAHDWQ_WQX,Utah Department Of Environmental Quality,STORET,UTAHDWQ_WQX-4908703,Blacksmith Fork AB SR101 road crossing at mile post 10 (UT09ST-103),River/Stream,NA,ACCEPT,Automatically accepted,UTAHDWQ_WQX-4908703,Blacksmith Fork AB SR101 road crossing at mile post 10 (UT09ST-103),UT16010203-020_00,Blacksmiths Fork-1,River/Stream,River / Stream,"Blacksmith Fork and tributaries, from confluence with Logan River to headwaters",NA,"2B,3A,4",1,1,1,0,41.62070334,-111.7590997,41.62070334,-111.7590997,16010203,NA,NA,NA,NA,NA,NA,NA,GPS-Unspecified,WGS84,NA,NA,NA,NA,NA,NA,US,49,5,NA,NA,NA,NA,NA,NA,NA,NA,AUTO,
789,UTAHDWQ_WQX,Utah Department Of Environmental Quality,STORET,UTAHDWQ_WQX-4908704,E Fk Little Bear R ~1.0 bl Porcupine Res Dam (UT09ST-191),River/Stream,NA,ACCEPT,Automatically accepted,UTAHDWQ_WQX-4908704,E Fk Little Bear R ~1.0 bl Porcupine Res Dam (UT09ST-191),UT16010203-014_00,East Fork Little Bear-1,River/Stream,River / Stream,"Little Bear River and tributaries, from Cutler Reservoir to headwaters",NA,"2B,3A,3D,4",1,1,1,0,41.51748819,-111.7660538,41.51748819,-111.7660538,16010203,NA,NA,NA,NA,NA,NA,NA,GPS-Unspecified,WGS84,NA,NA,NA,NA,NA,NA,US,49,5,NA,NA,NA,NA,NA,NA,NA,NA,AUTO,
790,UTAHDWQ_WQX,Utah Department Of Environmental Quality,STORET,UTAHDWQ_WQX-4908705,Little Bear River ~1.8 mi bl Wellsville Lagoons (UT09ST-105),River/Stream,NA,ACCEPT,Automatically accepted,UTAHDWQ_WQX-4908705,Little Bear River ~1.8 mi bl Wellsville Lagoons (UT09ST-105),UT16010203-009_00,Little Bear River-1,River/Stream,River / Stream,"Little Bear River and tributaries, from Cutler Reservoir to headwaters",NA,"2B,3A,3D,4",1,1,1,0,41.6809515,-111.9373371,41.6809515,-111.9373371,16010203,NA,NA,NA,NA,NA,NA,NA,GPS-Unspecified,WGS84,NA,NA,NA,NA,NA,NA,US,49,5,NA,NA,NA,NA,NA,NA,NA,NA,AUTO,
791,UTAHDWQ_WQX,Utah Department Of Environmental Quality,STORET,UTAHDWQ_WQX-4908706,Deer Creek at 9135 ft elevation below road crossing (UT09ST-156),River/Stream,NA,ACCEPT,Automatically accepted,UTAHDWQ_WQX-4908706,Deer Creek at 9135 ft elevation below road crossing (UT09ST-156),UT16010101-023_00,West Fork Bear River,River/Stream,River / Stream,"Bear River and tributaries, from Utah-Wyoming state line to headwaters (Summit County)",NA,"2B,3A,4",1,1,1,0,40.8907081,-110.9488131,40.8907081,-110.9488131,16010101,NA,NA,NA,NA,NA,NA,NA,GPS-Unspecified,WGS84,NA,NA,NA,NA,NA,NA,US,49,43,NA,NA,NA,NA,NA,NA,NA,NA,AUTO,
792,UTAHDWQ_WQX,Utah Department Of Environmental Quality,STORET,UTAHDWQ_WQX-4908707,Little Bear River ~1.3 mi ab US 89 Xing in Wellsville (UT09ST-107),River/Stream,NA,ACCEPT,Automatically accepted,UTAHDWQ_WQX-4908707,Little Bear River ~1.3 mi ab US 89 Xing in Wellsville (UT09ST-107),UT16010203-009_00,Little Bear River-1,River/Stream,River / Stream,"Little Bear River and tributaries, from Cutler Reservoir to headwaters",NA,"2B,3A,3D,4",1,1,1,0,41.63469541,-111.8996157,41.63469541,-111.8996157,16010203,NA,NA,NA,NA,NA,NA,NA,GPS-Unspecified,WGS84,NA,NA,NA,NA,NA,NA,US,49,5,NA,NA,NA,NA,NA,NA,NA,NA,AUTO,
793,UTAHDWQ_WQX,Utah Department Of Environmental Quality,STORET,UTAHDWQ_WQX-4908708,Mill City Ck AB Coyote Hollow confl and Whitney Rd xing (UT09ST-160),River/Stream,NA,ACCEPT,Automatically accepted,UTAHDWQ_WQX-4908708,Mill City Ck AB Coyote Hollow confl and Whitney Rd xing (UT09ST-160),UT16010101-023_00,West Fork Bear River,River/Stream,River / Stream,"Bear River and tributaries, from Utah-Wyoming state line to headwaters (Summit County)",NA,"2B,3A,4",1,1,1,0,40.85783636,-110.8690112,40.85783636,-110.8690112,16010101,NA,NA,NA,NA,NA,NA,NA,GPS-Unspecified,WGS84,NA,NA,NA,NA,NA,NA,US,49,43,NA,NA,NA,NA,NA,NA,NA,NA,AUTO,
794,UTAHDWQ_WQX,Utah Department Of Environmental Quality,STORET,UTAHDWQ_WQX-4908710,Logan River ~0.4 mi ab Temple Fk Rd Turnoff (UT09ST-110),River/Stream,NA,ACCEPT,Automatically accepted,UTAHDWQ_WQX-4908710,Logan River ~0.4 mi ab Temple Fk Rd Turnoff (UT09ST-110),UT16010203-006_00,Logan River-2,River/Stream,River / Stream,"Logan River and tributaries, from Cutler Reservoir to headwaters",NA,"2B,3A,3D,4",1,1,1,0,41.83767174,-111.5941976,41.83767174,-111.5941976,16010203,NA,NA,NA,NA,NA,NA,NA,GPS-Unspecified,WGS84,NA,NA,NA,NA,NA,NA,US,49,5,NA,NA,NA,NA,NA,NA,NA,NA,AUTO,
795,UTAHDWQ_WQX,Utah Department Of Environmental Quality,STORET,UTAHDWQ_WQX-4908711,Coyote Hollow above confluence with Mill City Creek (UT09ST-168),River/Stream,NA,ACCEPT,Automatically accepted,UTAHDWQ_WQX-4908711,Coyote Hollow above confluence with Mill City Creek (UT09ST-168),UT16010101-023_00,West Fork Bear River,River/Stream,River / Stream,"Bear River and tributaries, from Utah-Wyoming state line to headwaters (Summit County)",NA,"2B,3A,4",1,1,1,0,40.86259498,-110.8728667,40.86259498,-110.8728667,16010101,NA,NA,NA,NA,NA,NA,NA,GPS-Unspecified,WGS84,NA,NA,NA,NA,NA,NA,US,49,43,NA,NA,NA,NA,NA,NA,NA,NA,AUTO,
796,UTAHDWQ_WQX,Utah Department Of Environmental Quality,STORET,UTAHDWQ_WQX-4908712,Mill Creek above North Fork (UT09ST-112),River/Stream,NA,ACCEPT,Automatically accepted,UTAHDWQ_WQX-4908712,Mill Creek above North Fork (UT09ST-112),UT16010101-022_00,Mill Creek,River/Stream,River / Stream,"Mill Creek and tributaries, from state line to headwaters (Summit County)",NA,"2B,3A,4",1,1,1,0,40.93031559,-110.7400644,40.93031559,-110.7400644,16010101,NA,NA,NA,NA,NA,NA,NA,GPS-Unspecified,WGS84,NA,NA,NA,NA,NA,NA,US,49,43,NA,NA,NA,NA,NA,NA,NA,NA,AUTO,
797,UTAHDWQ_WQX,Utah Department Of Environmental Quality,STORET,UTAHDWQ_WQX-4908713,Malad River ab 20800 N Xing near Plymouth (UT09ST-113),River/Stream,NA,ACCEPT,Automatically accepted,UTAHDWQ_WQX-4908713,Malad River ab 20800 N Xing near Plymouth (UT09ST-113),UT16010204-006_00,Malad River-1,River/Stream,River / Stream,"Malad River and tributaries, from confluence with Bear River to state line",NA,"2B,3C",1,1,1,0,41.88828299,-112.1881565,41.88828299,-112.1881565,16010204,NA,NA,NA,NA,NA,NA,NA,GPS-Unspecified,WGS84,NA,NA,NA,NA,NA,NA,US,49,3,NA,NA,NA,NA,NA,NA,NA,NA,AUTO,
798,UTAHDWQ_WQX,Utah Department Of Environmental Quality,STORET,UTAHDWQ_WQX-4908714,Humpy Creek ~1/4 mi ab Hwy 30 Xing (UT09ST-176),River/Stream,NA,ACCEPT,Automatically accepted,UTAHDWQ_WQX-4908714,Humpy Creek ~1/4 mi ab Hwy 30 Xing (UT09ST-176),UT16010101-023_00,West Fork Bear River,River/Stream,River / Stream,"Bear River and tributaries, from Utah-Wyoming state line to headwaters (Summit County)",NA,"2B,3A,4",1,1,1,0,40.86129264,-110.9651271,40.86129264,-110.9651271,16010101,NA,NA,NA,NA,NA,NA,NA,GPS-Unspecified,WGS84,NA,NA,NA,NA,NA,NA,US,49,43,NA,NA,NA,NA,NA,NA,NA,NA,AUTO,
799,UTAHDWQ_WQX,Utah Department Of Environmental Quality,STORET,UTAHDWQ_WQX-4908715,Trib. to S. Fk Little Bear River at 6060 ft elevation Sec. 22 (UT09ST-115),River/Stream,NA,ACCEPT,Automatically accepted,UTAHDWQ_WQX-4908715,Trib. to S. Fk Little Bear River at 6060 ft elevation Sec. 22 (UT09ST-115),UT16010203-013_00,South Fork Little Bear,River/Stream,River / Stream,"Little Bear River and tributaries, from Cutler Reservoir to headwaters",NA,"2B,3A,3D,4",1,1,1,0,41.41846944,-111.8297461,41.41846944,-111.8297461,16010203,NA,NA,NA,NA,NA,NA,NA,GPS-Unspecified,WGS84,NA,NA,NA,NA,NA,NA,US,49,5,NA,NA,NA,NA,NA,NA,NA,NA,AUTO,
